member,epoch,train_log_prob,val_log_prob
3,75,8.354762,6.035405
3,76,8.346411,6.198002
3,77,8.404062,6.389943
3,78,8.423698,6.471719
3,79,8.467374,6.408175
3,80,8.484700,6.349001
3,81,8.478619,6.352351
3,82,8.504724,6.229984
3,83,8.525827,6.140715
3,84,8.519036,6.300592
3,85,8.526522,6.327137
4,0,0.185463,1.881046
4,1,2.357391,2.868220
4,2,3.104020,3.160859
4,3,3.573448,3.862590
4,4,4.119480,4.400856
4,5,4.618060,4.887760
4,6,5.102458,5.307150
4,7,5.446944,5.550851
4,8,5.675216,5.602162
4,9,5.814359,5.681636
4,10,5.865572,5.650128
4,11,5.962223,5.781266
4,12,6.100457,5.863268
4,13,6.157047,5.908506
4,14,6.266426,5.881818
4,15,6.311450,6.013291
4,16,6.362432,5.894379
4,17,6.418804,6.021299
4,18,6.535988,6.075540
4,19,6.541345,6.138583
4,20,6.686385,6.164586
4,21,6.669652,6.224714
4,22,6.756550,5.981688
4,23,6.676377,6.164786
4,24,6.782313,6.185526
4,25,6.941867,6.393066
4,26,6.939917,6.378800
4,27,6.980811,6.137181
4,28,7.070793,6.289929
4,29,7.121872,6.153828
4,30,7.104707,6.367272
4,31,7.242368,6.061251
4,32,7.266810,6.447091
4,33,7.309880,6.236841
4,34,7.362641,6.455703
4,35,7.399269,6.292756
4,36,7.403424,6.157723
4,37,7.426711,6.482377
4,38,7.490995,6.322809
4,39,7.521149,5.814732
4,40,7.451331,6.418913
4,41,7.554827,6.062757
4,42,7.515886,6.378374
4,43,7.604501,6.459355
4,44,7.656436,6.073899
4,45,7.700028,6.295999
4,46,7.733496,6.239904
4,47,7.807130,6.327948
4,48,7.757762,6.095553
4,49,7.833061,6.355569
4,50,7.916457,6.102949
4,51,7.942794,6.267667
4,52,7.967373,6.109475
4,53,8.013221,6.054095
4,54,8.038218,6.260668
4,55,8.059955,6.259226
4,56,8.076690,6.186496
4,57,8.117252,6.014634
4,58,8.081154,5.962381
4,59,8.080804,6.227341
4,60,8.172318,6.088618
4,61,8.198887,6.191588
4,62,8.211118,6.025286
4,63,8.236332,6.181290
4,64,8.230258,5.918624
4,65,8.247449,5.906316
4,66,8.275780,5.970970
4,67,8.281860,5.916838
